id,name,symbol,slug,cmc_rank,price,volume_24h,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,pull_timestamp
1,Bitcoin,BTC,bitcoin,1,111199.058963472,62106187832.782104,2214248481633.662,-0.3260459,-0.52761866,-2.67495371,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
1027,Ethereum,ETH,ethereum,2,4498.074107733073,44021365212.37883,542948660552.97845,-0.77009319,-2.06758309,3.75713204,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
52,XRP,XRP,xrp,3,2.965220049417716,6651432109.209599,176378001865.7577,-0.83774686,-1.52791455,0.31345708,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
825,Tether USDt,USDT,tether,4,1.0000575820475042,120880086382.15561,167215137252.1336,-0.00301585,0.00269873,0.00599038,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
1839,BNB,BNB,bnb,5,855.9301528906776,2393788898.1321154,119220107604.18828,-0.360984,-0.94456462,-1.67623846,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
5426,Solana,SOL,solana,6,203.0535946000451,12857389376.523075,109785756786.60745,-1.04213996,3.75146657,8.3037616,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
3408,USDC,USDC,usd-coin,7,1.000079126771396,18661887643.321674,69360089947.48163,0.01316853,0.02545971,0.03241513,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
74,Dogecoin,DOGE,dogecoin,8,0.21939961839870717,2282482905.1788034,33063139943.93547,-0.46410014,0.44107428,-1.09989179,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
1958,TRON,TRX,tron,9,0.34559237754405264,1058275615.5935206,32714084884.072113,-0.2080182,-1.8121525,-2.51064585,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
2010,Cardano,ADA,cardano,10,0.8508090735409312,1320590890.9640913,30400977777.398342,-0.8769738,-1.79694957,-3.76454188,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
1975,Chainlink,LINK,chainlink,11,23.741270146711887,1519166820.975339,16098954584.996958,-0.97757111,-2.65230808,-10.50641176,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
32196,Hyperliquid,HYPE,hyperliquid,12,47.00246778530551,408996937.1199522,15695448523.0557,-1.72676358,-3.16843972,9.38316788,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
29470,Ethena USDe,USDe,ethena-usde,13,1.0006950690226157,214279996.7887678,12232893918.286469,-0.01004292,-0.011275,-0.01049828,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
20947,Sui,SUI,sui,14,3.431401220687306,1156791414.2294638,12050821946.158125,-0.99604166,-0.60508092,-3.64376599,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
512,Stellar,XLM,stellar,15,0.37845099473827787,437261544.23028016,11864978706.3926,-0.74510887,-4.08396479,-6.53223254,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
1831,Bitcoin Cash,BCH,bitcoin-cash,16,550.1364614207056,410933329.39917594,10957246696.466154,-0.63890633,-0.05574361,-1.93473758,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
5805,Avalanche,AVAX,avalanche,17,24.44367730806384,776824299.0396781,10321960813.66758,-0.69261603,1.16474866,4.16234563,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
4642,Hedera,HBAR,hedera,18,0.2375110038031811,253512975.24347445,10068786739.698452,-1.04058216,-1.82025013,-1.81674382,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
3957,UNUS SED LEO,LEO,unus-sed-leo,19,9.581783626734332,595828.49058479,8844389679.608295,0.18841799,0.25409717,0.22330304,2025-08-27 23:50:00+00:00,2025-08-27 23:51:50.849000+00:00
3635,Cronos,CRO,cronos,20,0.25686445077508513,1183052528.8360956,8627695895.699282,-2.09566793,29.93872573,79.05230158,2025-08-27 23:50:00+00:00,2025-08-27 23:51:50.849000+00:00
2,Litecoin,LTC,litecoin,21,112.06544625295186,638532716.2654735,8543237375.241362,-0.94846522,-1.28087771,-3.58589493,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
11419,Toncoin,TON,toncoin,22,3.137856687959892,191072714.24430904,8056302889.677976,-0.34676055,-0.90814694,-4.31986494,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
5994,Shiba Inu,SHIB,shiba-inu,23,1.249062182165696e-05,197877961.60834205,7360048352.997423,-0.39764418,-0.5329066,-0.68458316,2025-08-27 23:50:00+00:00,2025-08-27 23:51:50.849000+00:00
7083,Uniswap,UNI,uniswap,24,9.826227927746963,419198535.4900765,6178140942.766868,-0.81999046,-1.1265209,-7.53139,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
6636,Polkadot,DOT,polkadot-new,25,3.8322856669166017,275529395.78213716,6175714467.492491,-1.02252536,-1.44207848,-1.38749711,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
4943,Dai,DAI,multi-collateral-dai,26,0.9998290369493604,20436698562.697918,5364465420.470176,-0.01001773,0.00382785,-0.01551523,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
11092,Bitget Token,BGB,bitget-token-new,27,4.6144718860881975,148729238.62137195,5260461200.388575,-0.63285531,-1.0655856,0.09451176,2025-08-27 23:50:00+00:00,2025-08-27 23:51:50.849000+00:00
328,Monero,XMR,monero,28,273.8452906044544,120947360.51488347,5051553991.57099,0.22269726,-1.93090402,5.1900461,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
7278,Aave,AAVE,aave,29,321.15349762346636,602543062.2582451,4887274583.401079,-0.55745649,-4.24039342,7.34985939,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
24478,Pepe,PEPE,pepe,30,1.0025686956338532e-05,596989562.2214961,4217705239.619898,-0.51694649,-0.63489006,-6.11968396,2025-08-27 23:50:00+00:00,2025-08-27 23:51:50.849000+00:00
30171,Ethena,ENA,ethena,31,0.6105888196088282,603634324.6290802,4043242839.847209,-0.27905115,-2.64917595,-7.12496431,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
27075,Mantle,MNT,mantle,32,1.2053914981896205,444806391.94438463,3921071108.9921904,0.08428302,2.12540061,-9.34810222,2025-08-27 23:50:00+00:00,2025-08-27 23:51:50.849000+00:00
3897,OKB,OKB,okb,33,171.46148423210957,307125133.0386727,3600691168.874301,-0.70658831,-0.93246514,-0.90307041,2025-08-27 23:50:00+00:00,2025-08-27 23:51:50.849000+00:00
1321,Ethereum Classic,ETC,ethereum-classic,34,21.459462093545312,151950077.59134194,3289409778.834438,-0.71360388,-0.93947523,-0.53928114,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
22974,Bittensor,TAO,bittensor,35,330.72697014275366,116605810.28040747,3246571781.511392,-0.81204984,-1.25858824,-6.47940063,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
6535,NEAR Protocol,NEAR,near-protocol,36,2.5169677491114575,183134605.76005152,3145799400.5104747,-0.84832825,-0.40661692,-1.13689633,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
21794,Aptos,APT,aptos,37,4.361385644673459,137693197.2520545,2994941864.1071367,-0.56498107,-0.3146258,-2.97050128,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
21159,Ondo,ONDO,ondo-finance,38,0.9263954873334465,151321409.108013,2926582958.866715,-0.98489407,-1.63676046,-2.16072897,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
35697,Pi,PI,pi,39,0.34175034783636704,27495511.48465851,2713818424.6526923,-0.03290733,-0.80303919,-5.29800287,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
8916,Internet Computer,ICP,internet-computer,40,5.010403837133824,60969594.30823283,2693074074.1069336,-0.76993327,-0.96094036,-4.98870754,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
11841,Arbitrum,ARB,arbitrum,41,0.5047929848052134,543451568.6495193,2673272621.3401604,-0.60439615,-4.6553106,-1.40884646,2025-08-27 23:50:00+00:00,2025-08-27 23:51:50.849000+00:00
